title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Far Cry 5,PS4,Action,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018-03-27
Battlefield 4,PS4,Shooter,Electronic Arts,8.3,3.94,1.4,0.19,1.74,0.62,2013-11-15
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,8.7,3.94,1.34,0.13,1.86,0.62,2013-10-29
Tony Hawk's Underground,PS2,Sports,Activision,8.7,3.9,2.29,0.01,1.17,0.42,2003-10-27
Just Dance 2014,Wii,Music,Ubisoft,7.4,3.89,1.91,0.0,1.66,0.33,2013-10-08
Sports Champions,PS3,Sports,Sony Computer Entertainment,7.6,3.88,2.15,0.1,1.13,0.5,2010-09-17
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9.3,3.85,0.16,1.12,1.89,0.68,2005-02-01
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7.5,3.76,2.4,0.0,1.01,0.36,2008-06-03
The Sims: Unleashed,PC,Simulation,Electronic Arts,7.3,3.76,2.03,0.0,1.56,0.17,2002-09-23
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8.5,3.75,1.4,0.1,1.4,0.86,2007-02-13
FIFA 17,XOne,Sports,Electronic Arts,8.8,3.71,1.04,0.0,2.4,0.27,2016-09-27
FIFA Soccer 2005,PS2,Sports,EA Sports,8.4,3.7,0.58,0.04,2.48,0.59,2004-10-12
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9.6,3.67,2.13,0.01,1.18,0.35,2002-10-23
MySims,DS,Simulation,Electronic Arts,6.7,3.66,1.58,0.08,1.6,0.4,2007-09-18
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7.2,3.66,1.65,0.0,1.22,0.79,2005-06-27
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8.0,3.65,2.53,0.06,0.81,0.24,2002-08-27
Battlefield 4,PS3,Shooter,Electronic Arts,8.7,3.64,1.31,0.27,1.5,0.55,2013-10-29
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9.0,3.64,2.08,0.15,1.09,0.33,2001-12-04
Pro Evolution Soccer 2008,PS2,Sports,Konami,8.2,3.63,0.05,0.64,0.0,2.93,2008-03-11
FIFA Soccer 10,PS3,Sports,EA Sports,9.0,3.63,0.6,0.05,2.46,0.52,2009-10-20
Guitar Hero: World Tour,Wii,Misc,Activision,8.4,3.62,2.32,0.0,0.96,0.34,2008-10-26
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6.1,3.61,2.02,0.0,1.17,0.42,2001-11-24
Star Wars Battlefront,PS2,Shooter,LucasArts,8.1,3.61,1.93,0.03,1.22,0.44,2004-09-20
Doom II,PC,Shooter,GT Interactive,9.3,3.61,2.05,0.0,1.4,0.16,1994-09-30
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8.6,3.6,0.9,0.08,2.06,0.55,2015-10-23
Star Wars Battlefront II,PS2,Shooter,LucasArts,8.5,3.59,2.18,0.03,1.02,0.37,2005-11-01
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6.9,3.58,1.6,0.1,1.49,0.39,2007-11-13
The Getaway,PS2,Action,Sony Computer Entertainment,7.7,3.54,1.23,0.05,1.77,0.49,2003-01-19
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8.2,3.54,1.66,0.12,1.58,0.18,1998-11-21
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8.3,3.54,1.56,0.07,1.4,0.5,2006-06-06
Battlefield 4,X360,Shooter,Electronic Arts,8.7,3.54,2.16,0.02,1.05,0.32,2013-10-29
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9.1,3.54,2.24,0.02,0.95,0.33,2009-08-25
Resident Evil 5,X360,Action,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,2009-03-13
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,9.1,3.53,2.87,0.03,0.39,0.25,2010-11-16
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,7.9,3.53,1.98,0.01,1.14,0.41,2005-04-02
FIFA Soccer 11,X360,Sports,EA Sports,8.7,3.52,0.71,0.02,2.39,0.4,2010-09-28
NBA 2K17,PS4,Sports,2K Sports,9.0,3.52,2.28,0.03,0.59,0.63,2016-09-16
FIFA Soccer 2004,PS2,Sports,EA Sports,8.0,3.49,0.59,0.04,2.36,0.51,2003-11-04
Borderlands,X360,Shooter,2K Games,8.3,3.48,2.43,0.03,0.72,0.3,2009-10-20
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,9.0,3.48,2.11,0.04,1.01,0.33,2010-03-02
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,7.6,3.47,1.21,0.27,1.63,0.37,2009-10-13
Guitar Hero: On Tour,DS,Misc,Activision,7.1,3.46,2.1,0.01,1.01,0.35,2008-06-22
Tekken 4,PS2,Fighting,Namco,7.9,3.44,1.55,0.33,1.27,0.29,2002-09-23
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,7.5,3.44,2.07,0.0,1.04,0.34,2008-09-23
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,8.8,3.44,2.06,0.03,1.04,0.31,2014-11-11
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,9.1,3.43,1.83,0.06,1.07,0.47,2011-01-18
Grand Theft Auto 2,PS,Action,Rockstar Games,6.9,3.42,1.13,0.0,2.07,0.22,1999-10-25
Destiny,XOne,Shooter,Activision,8.3,3.41,2.17,0.0,0.92,0.32,2014-09-09
Spider-Man 2,PS2,Action,Activision,7.9,3.41,1.75,0.02,1.2,0.43,2004-06-28
Crash Bash,PS,Misc,Sony Computer Entertainment,6.8,3.39,1.56,0.19,1.47,0.17,2000-11-06
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,8.3,3.36,1.24,0.08,1.5,0.54,2016-10-28
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,8.5,3.34,1.9,0.01,1.14,0.3,2013-10-29
NBA 2K18,PS4,Sports,2K Sports,8.1,3.34,2.13,0.04,0.57,0.59,2017-09-19
Max Payne,PS2,Shooter,Rockstar Games,8.1,3.31,1.99,0.05,1.05,0.22,2001-12-06
Madden NFL 16,PS4,Sports,EA Sports,8.2,3.3,2.39,0.0,0.31,0.61,2015-08-25
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,8.4,3.28,1.5,0.05,1.28,0.46,2003-11-05
Madden NFL 17,PS4,Sports,EA Sports,8.5,3.28,2.3,0.0,0.37,0.6,2016-08-23
FIFA 16,XOne,Sports,EA Sports,8.5,3.25,0.92,0.0,2.1,0.24,2015-09-22
L.A. Noire,PS3,Adventure,Rockstar Games,9.1,3.21,1.29,0.12,1.31,0.49,2011-11-15
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,6.2,3.21,1.72,0.0,1.33,0.16,1999-11-16
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,8.7,3.2,1.76,0.07,1.21,0.16,2000-11-21
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,8.3,3.19,1.07,0.06,1.55,0.51,2013-11-15
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,9.5,3.18,1.18,0.09,1.4,0.51,2018-10-05
Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks,8.2,3.17,1.54,0.1,1.04,0.49,2010-10-19
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,7.0,3.14,1.87,0.0,0.97,0.3,2008-11-25
FIFA 18,XOne,Sports,EA Sports,8.0,3.14,0.98,0.0,1.92,0.23,2017-09-29
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Bethesda Softworks,9.3,3.12,1.69,0.14,0.86,0.44,2007-03-20
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,7.0,3.12,1.07,0.22,1.35,0.47,2017-03-07
NBA 2K13,X360,Sports,2K Sports,8.6,3.11,2.62,0.01,0.21,0.28,2012-10-02
Mass Effect 2,X360,Role-Playing,Electronic Arts,9.5,3.1,1.99,0.03,0.81,0.27,2010-01-26
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,7.3,3.08,1.8,0.0,0.98,0.29,2008-09-23
Saints Row 2,X360,Action,THQ,7.9,3.07,1.98,0.02,0.79,0.28,2008-10-14
Call of Duty: Ghosts,XOne,Shooter,Activision,7.5,3.07,1.92,0.0,0.86,0.28,2013-11-22
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,7.8,3.06,1.75,0.0,1.02,0.29,2008-09-23
Kung Fu Panda,X360,Platform,Activision,7.5,3.05,1.91,0.0,0.84,0.29,2008-06-03
Mass Effect 3,X360,Role-Playing,Electronic Arts,9.5,3.04,1.94,0.03,0.84,0.24,2012-03-06
Rayman,PS,Platform,Ubisoft,7.0,3.03,1.54,0.0,1.33,0.16,1995-09-01
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,9.3,3.02,1.85,0.0,1.04,0.13,2002-11-17
WWE SmackDown! vs. Raw 2006,PS2,Fighting,THQ,8.4,3.0,1.57,0.0,1.02,0.41,2005-11-15
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,8.9,2.96,1.33,0.08,1.11,0.44,2010-03-02
Street Fighter IV,X360,Fighting,Capcom,9.3,2.95,1.83,0.15,0.7,0.26,2009-02-17
Madden NFL 13,X360,Sports,EA Sports,8.0,2.93,2.53,0.0,0.16,0.24,2012-08-28
FIFA 15,X360,Sports,EA Sports,6.9,2.91,0.8,0.0,1.9,0.21,2014-09-23
Mass Effect,X360,Role-Playing,Microsoft Game Studios,9.2,2.91,1.83,0.03,0.79,0.27,2007-11-20
Mortal Kombat (2011),PS3,Fighting,Warner Bros. Interactive Entertainment,8.5,2.9,1.98,0.0,0.54,0.38,2011-04-19
Cooking Mama: Cook Off,Wii,Simulation,Majesco,5.9,2.89,1.41,0.05,1.12,0.3,2007-03-20
Sega Superstars Tennis,X360,Sports,Sega,6.9,2.89,1.75,0.0,0.86,0.28,2008-03-18
Imagine: Babyz,DS,Simulation,Ubisoft,3.5,2.87,1.3,0.0,1.26,0.31,2007-10-23
Colin McRae Rally,PS,Racing,Sony Computer Entertainment,7.9,2.87,0.09,0.12,2.43,0.22,2000-01-31
Mafia III,PS4,Action-Adventure,2K Games,6.9,2.87,0.72,0.04,1.67,0.44,2016-10-07
The Elder Scrolls III: Morrowind,XB,Role-Playing,Bethesda Softworks,8.2,2.86,2.09,0.03,0.63,0.11,2002-06-06
Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,9.1,2.85,1.87,0.11,0.57,0.3,2010-11-16
Madden NFL 10,X360,Sports,EA Sports,8.6,2.83,2.52,0.0,0.09,0.22,2009-08-14
BioShock,X360,Shooter,2K Games,9.6,2.83,1.65,0.05,0.85,0.28,2007-08-21
Finding Nemo,GBA,Platform,THQ,7.0,2.82,1.59,0.04,1.05,0.14,2003-05-10
